Time,Low,High,Open,Close,Volume,MinValue,MaxValue
1511916960,8349.52,8349.98,8349.52,8349.98,0.04,0.0,8.0
1511917020,8349.8,8349.98,8349.8,8349.81,0.08,0.0,2.0
1511917080,8349.77,8349.98,8349.97,8349.77,0.17508,16.0,0.0
1511917140,8349.8,8349.98,8349.97,8349.98,0.21680332,2.0,12.0
1511917200,8349.98,8349.98,8349.98,8349.98,0.05,4.0,10.0
1511917260,8349.97,8349.98,8349.98,8349.98,0.1002,2.0,8.0
1511917320,8349.98,8349.98,8349.98,8349.98,0.1,0.0,6.0
1511917380,8349.97,8349.98,8349.98,8349.97,0.03,10.0,0.0
1511917440,8349.97,8349.98,8349.98,8349.98,0.15,2.0,2.0
1511917500,8349.97,8349.98,8349.98,8349.98,0.03,4.0,0.0
1511917560,8349.98,8350.0,8349.98,8350.0,0.7100000000000001,2.0,0.0
1511917620,8350.0,8369.98,8350.0,8369.98,1.1214484999999998,2.0,2.0
1511917680,8369.98,8369.98,8369.98,8369.98,0.00183255,4.0,0.0
1511917740,8369.99,8375.0,8369.99,8375.0,0.66486334,2.0,0.0
1511917800,8375.0,8379.0,8375.0,8379.0,7.908016689999997,2.0,4.0
1511917860,8379.0,8379.0,8379.0,8379.0,0.10238096,4.0,2.0
1511917920,8378.99,8379.0,8378.99,8379.0,0.03,6.0,0.0
1511917980,8379.0,8384.61,8379.0,8384.61,0.66765788,0.0,4.0
1511918040,8383.99,8384.67,8384.62,8383.99,0.65177044,0.0,2.0
1511918100,8383.98,8383.99,8383.99,8383.98,1.25483014,6.0,0.0
1511918160,8383.99,8385.0,8383.99,8384.99,0.40713559,2.0,0.0
1511918220,8384.99,8385.0,8384.99,8385.0,1.41635234,0.0,6.0
1511918280,8384.99,8385.0,8385.0,8384.99,0.23282532,6.0,0.0
1511918400,8385.0,8385.0,8385.0,8385.0,0.18379263,2.0,2.0
1511918460,8384.99,8385.0,8385.0,8385.0,1.04659577,4.0,0.0
1511918520,8385.0,8385.52,8385.0,8385.51,0.04570557,2.0,0.0
1511918580,8385.52,8386.07,8385.52,8386.07,0.15976602,2.0,0.0
1511918640,8386.06,8387.99,8386.06,8387.95,3.25221317,2.0,0.0
1511918700,8387.95,8388.4,8387.95,8388.4,0.40499315,2.0,0.0
1511918760,8389.69,8389.69,8389.69,8389.69,0.09925551,0.0,4.0
1511918820,8389.21,8389.69,8389.69,8389.21,0.29691775000000004,0.0,2.0
1511918880,8387.95,8387.96,8387.96,8387.96,0.5891292300000001,8.0,0.0
1511918940,8387.96,8397.0,8387.96,8397.0,3.7211089299999993,2.0,0.0
