Time,Low,High,Open,Close,Volume
1513685400, 18019.16, 18049.53, 18019.16, 18048.65, 6.26382491
1513685340, 17979.61, 18019.16, 17979.61, 18019.16, 5.523881750000001
1513685280, 17953.59, 17979.61, 17953.6, 17979.61, 3.7082144800000005
1513685220, 17930.46, 18036.32, 18036.32, 17954.59, 6.35367755
1513685160, 18036.32, 18088.11, 18088.11, 18036.32, 6.61395372
1513685100, 18088.11, 18088.11, 18088.11, 18088.11, 3.2527246200000004
1513685040, 18088.1, 18088.11, 18088.11, 18088.1, 3.9669656500000006
1513684980, 18088.1, 18088.11, 18088.1, 18088.11, 3.2472606300000013
1513684920, 18010, 18099.86, 18010, 18088.1, 5.66388921
1513684860, 17978.98, 18010, 17978.99, 18010, 13.7546311
1513684800, 17856, 17978.99, 17856, 17978.99, 14.73370229
1513684740, 17855.99, 17856, 17855.99, 17856, 11.549514820000002
1513684680, 17857, 17867, 17867, 17857, 4.25789637
1513684620, 17863.88, 17884.5, 17884.5, 17867, 9.993035669999998
1513684560, 17884.5, 17940, 17940, 17884.5, 6.002166440000002
1513684500, 17783.98, 17940.21, 17783.98, 17940, 15.00687831
1513684440, 17783.99, 17888.96, 17888.96, 17783.99, 7.5739068199999995
1513684380, 17888.96, 18001, 18000, 17888.96, 28.38398752
1513684320, 18001, 18095.01, 18095, 18001, 13.479323679999993
1513684260, 18095, 18100.01, 18100.01, 18095, 3.9733364100000004
1513684200, 18100, 18122.75, 18122.75, 18100.01, 3.13760231
1513684140, 18134.81, 18199.9, 18199.9, 18134.81, 5.384543600000001
1513684080, 18199.91, 18249, 18249, 18199.91, 3.14744797
1513684020, 18249.1, 18309.01, 18309.01, 18249.11, 2.88144124
1513683960, 18309.02, 18341.24, 18341.24, 18309.02, 3.82464053
1513683900, 18338.03, 18349.98, 18338.03, 18341.24, 3.243733799999999
1513683840, 18305.01, 18338.04, 18305.01, 18338.04, 5.251899889999998
1513683780, 18305, 18305.01, 18305, 18305.01, 3.377288310000001
1513683720, 18305, 18305.1, 18305.1, 18305, 2.7723095600000005
1513683660, 18305.11, 18307.99, 18307.99, 18305.11, 2.8784430100000002
1513683600, 18307.98, 18307.99, 18307.99, 18307.98, 4.604077449999999
1513683540, 18307.98, 18307.99, 18307.99, 18307.99, 1.08041061
1513683480, 18307.98, 18350.08, 18350.07, 18307.99, 2.1000239499999993
1513683420, 18314.46, 18375, 18375, 18350.08, 4.51711321
1513683360, 18374.99, 18375, 18375, 18374.99, 4.754635349999999
1513683300, 18307.99, 18375, 18307.99, 18374.99, 7.331950469999999
1513683240, 18307.98, 18307.99, 18307.99, 18307.98, 5.807051339999999
1513683180, 18290.03, 18307.99, 18290.03, 18307.99, 2.56663373
1513683120, 18290.02, 18307.01, 18307, 18290.02, 3.24757102
1513683060, 18307.01, 18308.01, 18308, 18307.01, 6.153089640000001
1513683000, 18307.99, 18308.01, 18308, 18308, 12.098897010000002
1513682940, 18199.99, 18308, 18200, 18307.99, 6.486769350000001
1513682880, 18199.99, 18200, 18200, 18199.99, 5.3241201700000005
1513682820, 18199.99, 18200, 18200, 18199.99, 4.437992710000001
1513682760, 18199.99, 18200, 18199.99, 18200, 3.4008030499999995
1513682700, 18199.99, 18200, 18200, 18199.99, 1.6759382199999995
1513682640, 18200, 18216.17, 18216.17, 18200, 4.462650930000001
1513682580, 18216.65, 18247.46, 18247.46, 18216.65, 0.8157580499999999
1513682520, 18235.22, 18250.03, 18250.03, 18240.01, 3.4353396600000004
1513682460, 18250.02, 18308, 18308, 18250.02, 6.659606589999998
1513682400, 18305.01, 18424.22, 18424.22, 18309.98, 3.7371479300000012
1513682340, 18429.34, 18429.86, 18429.34, 18429.85, 7.00913995
1513682280, 18200, 18429.53, 18200, 18429.35, 5.688881909999999
1513682220, 18159.99, 18200, 18159.99, 18200, 18.420005700000004
